Code,Area,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil
E09000002,Barking and Dagenham,2353,46.4,0.16
E09000003,Barnet,3804,57.1,0.57
E09000004,Bexley,3115,49.6,-0.09
E09000005,Brent,3038,50.2,0.47
E09000006,Bromley,3312,50.8,0.03
E09000007,Camden,1571,48.6,0.09
E09000008,Croydon,3640,45.5,0.07
E09000009,Ealing,2956,50.9,0.58
E09000010,Enfield,3606,46.5,0.12
E09000011,Greenwich,2364,45.3,-0.18
E09000012,Hackney,2230,49.2,0.29
E09000013,Hammersmith and Fulham,1326,53.9,0.27
E09000014,Haringey,2336,46.9,0.24
E09000015,Harrow,2210,50.9,0.39
E09000016,Havering,2829,48.5,-0.05
E09000017,Hillingdon,3203,47.7,0.11
E09000018,Hounslow,2731,49.3,0.37
E09000019,Islington,1465,45.8,0.03
E09000020,Kensington and Chelsea,867,53.6,0.32
E09000021,Kingston upon Thames,1550,56.9,0.46
E09000022,Lambeth,2189,44.1,-0.04
E09000023,Lewisham,2187,43.7,-0.27
E09000024,Merton,1455,51.1,0.55
E09000025,Newham,3933,48.8,0.23
E09000026,Redbridge,3687,54.0,0.50
E09000027,Richmond upon Thames,1586,54.1,0.30
E09000028,Southwark,2509,49.5,0.25
E09000029,Sutton,2796,58.6,0.38
E09000030,Tower Hamlets,2808,48.4,0.24
E09000031,Waltham Forest,2605,46.2,0.11
E09000032,Wandsworth,1785,49.4,0.26
E09000033,Westminster,1655,53.4,0.48